(218, 'Command & Conquer: Tiberian Sun', NULL, '08/27/1999', 'Westwood Studios', 'Electronic Arts', '|Strategy|', 'T - Teen', '1', NULL),
(219, 'Command & Conquer: Renegade', NULL, '02/26/2002', 'Westwood Studios', 'EA Games', '|Shooter|', 'T - Teen', '1', NULL),
(220, 'Command & Conquer: Red Alert', 0, '10/31/1996', 'Westwood Studios', 'Virgin Interactive', '|Strategy|', 'T - Teen', '1', NULL),
(221, 'Command & Conquer: Red Alert 2', NULL, '10/23/2000', 'Westwood Studios', 'EA Games', '|Strategy|', 'T - Teen', '1', NULL),
(222, 'Metal Slug', 0, '05/24/1996', 'Nazca Corporation', 'SNK', '|Action|Adventure|Shooter|', 'T - Teen', '24', NULL),
(223, 'Metal Slug 2', 0, '04/02/1998', 'SNK', 'SNK', '|Action|Adventure|Shooter|', 'T - Teen', '24', NULL),
(224, 'Metal Slug 3', 0, '06/01/2000', 'SNK', 'SNK', '|Action|Adventure|Shooter|', 'T - Teen', '24', NULL),
(225, 'Metal Slug 4', 0, '07/19/2002', 'Mega Enterprise', 'Playmore', '|Action|Adventure|Shooter|', 'T - Teen', '24', NULL),
(226, 'Metal Slug 5', 2, '11/01/2003', 'SNK', 'SNK', '|Action|Adventure|Shooter|', 'T - Teen', '24', NULL),
(227, 'Metal Slug 6', 0, '02/24/2006', 'SNK', 'SNK', '|Action|Adventure|Shooter|', 'T - Teen', '24', NULL),
(228, 'Cruis''n USA', 0, '01/01/1994', 'Midway Games', 'Nintendo', '|Vehicle Simulation|', 'E - Everyone', '3', NULL),
(229, 'Cruis''n World', 0, '01/01/1996', 'Midway Games', 'Midway Games', '|Vehicle Simulation|', 'E - Everyone', '3', NULL),
(230, 'Cruis''n Exotica', 0, '01/01/1998', 'Midway Games', 'Midway Games', '|Vehicle Simulation|', 'E - Everyone', '3', NULL),
(231, 'Star Wars: Shadows of the Empire', NULL, NULL, NULL, NULL, NULL, NULL, '3', NULL),
(232, 'Super Mario RPG: Legend of the Seven Stars', 1, '05/13/1996', 'Square', 'Nintendo', '|Role-Playing|', 'E - Everyone', '6', NULL),
(233, 'Metroid Prime 3: Corruption', NULL, NULL, 'Retro Studios', 'Nintendo', NULL, 'T - Teen', '9', NULL),
(234, 'Anno 1404', 0, NULL, NULL, NULL, NULL, NULL, '1', NULL),
(235, 'Fallout', NULL, '09/30/1997', 'Black Isle Studios', 'Interplay Entertainment', '|Role-Playing|', 'M - Mature', '1', NULL),
(255, 'Gauntlet Legends', NULL, '1998', 'Atari Games', 'Atari Games', NULL, 'T - Teen', '3', NULL),
(256, 'Hercules: The Legendary Journeys', NULL, NULL, NULL, NULL, NULL, 'T - Teen', '3', NULL),
(257, 'Hey You Pikachu!', NULL, NULL, NULL, NULL, NULL, 'E - Everyone', '3', NULL),
(258, 'Hydro Thunder', NULL, '09/09/1999', 'Midway Games', 'Midway Games', '|Vehicle Simulation|', 'E - Everyone', '3', NULL),
(259, 'Indiana Jones and the Infernal Machine', NULL, NULL, NULL, NULL, NULL, 'T - Teen', '3', NULL),
(260, 'Jet Force Gemini', NULL, NULL, NULL, NULL, NULL, 'T - Teen', '3', NULL),
(261, 'Killer Instinct Gold', 2, '11/25/1996', 'Rare Ltd.', 'Nintendo', '|Fighting|', 'T - Teen', '3', NULL),
(262, 'Kirby 64: The Crystal Shards', 4, '6/26/2000', 'HAL Laboratory', 'Nintendo', '|Adventure|', 'E - Everyone', '3', NULL),
(264, 'Knockout Kings 2000', NULL, NULL, NULL, NULL, NULL, 'T - Teen', '3', NULL),
(265, 'Duck Dodgers Starring Daffy Duck', NULL, NULL, NULL, NULL, NULL, 'E - Everyone', '3', NULL),
(266, 'Mario Kart 64', 4, '12/14/1996', 'Nintendo', 'Nintendo', '|Racing|', 'E - Everyone', '3', NULL),
(267, 'Madden NFL 99', NULL, NULL, NULL, NULL, NULL, 'E - Everyone', '3', NULL),
(268, 'Madden NFL 2001', NULL, NULL, NULL, NULL, NULL, 'E - Everyone', '3', NULL),
(269, 'Madden NFL 2002', NULL, NULL, NULL, NULL, NULL, 'E - Everyone', '3', NULL),
(270, 'Mario Party 2', 4, '12/17/1999', 'Hudson Soft', 'Nintendo', '|Adventure|Puzzle|Strategy|', 'E - Everyone', '3', NULL),
(271, 'Major League Baseball Featuring Ken Griffey Jr.', NULL, NULL, NULL, NULL, NULL, 'E - Everyone', '3', NULL),
(272, 'NBA In the Zone ''99', NULL, NULL, NULL, NULL, NULL, 'E - Everyone', '3', NULL),
(273, 'Air Cavalry', NULL, NULL, NULL, NULL, NULL, 'E - Everyone', '6', NULL),
(274, 'Animaniacs', 0, NULL, NULL, NULL, NULL, 'E - Everyone', '6', NULL),
(275, 'Ardy Lightfoot', 1, '11/26/1993', 'ASCII Entertainment', 'ASCII Entertainment', '|Action|Adventure|', 'E - Everyone', '6', NULL),
(276, 'Battle Clash', 2, '06/21/1993', 'Nintendo', 'Nintendo', '|Shooter|', NULL, '6', NULL),
(277, 'Super Bomberman', NULL, NULL, NULL, NULL, NULL, NULL, '6', NULL),
(278, 'Bugs Bunny Rabbit Rampage', 1, '06/24/1993', 'Sunsoft', 'Sunsoft', '|Action|', NULL, '6', NULL),
(279, 'Cacoma Knight in Bizyland', 1, '1993', 'SETA Corporation', 'SETA Corporation', '|Action|', NULL, '6', NULL),
(280, 'Congo''s Caper', 1, '12/18/1992', 'Data East', 'Data East', '|Action|', 'E - Everyone', '6', NULL),
(281, '3 Ninjas Kick Back', 0, '06/01/1994', 'Malibu Interactive', 'Sony Imagesoft', NULL, NULL, '6', NULL),
